document,document_id,source,location,doc_relation,notes,url,content,admin_url
T-S 18J1.17 (PGPID 3504),3504,Craig Perry.,,Translation ; Edition,,https://docs.google.com/document/d/1rGQymwoXt4CqFCw7TFkVMjGCFxmznKOD3G3T4N5N18Q/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/3921/change/
NLI 4°8333.27 (PGPID 30837),30837,Paul Cobb and Marina Rustow.,,Translation ; Edition,,https://drive.google.com/open?id=139_SY-PmCLg8r9UqgAlhyVynyEzPHDQa61T3kieM_zs,None,https://geniza.princeton.edu/admin/footnotes/footnote/2019/change/
T-S NS J618 (PGPID 26561),26561,Amir Ashur.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/6195/change/
T-S 13J20.26 (PGPID 1022),1022,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3269/change/
Bodl. MS heb. c 13/20 (PGPID 531),531,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/247/change/
T-S 13J8.18 (PGPID 1211),1211,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3661/change/
ENA 2805.23 (PGPID 707),707,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1108/change/
JRL Series A 685 (PGPID 5249),5249,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1706/change/
ENA 2805.24 (PGPID 708),708,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1110/change/
JRL Series A 659 (PGPID 5254),5254,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1701/change/
DK 256 (alt: XXI) (PGPID 30832),30832,Marina Rustow and Naïm Vanthieghem.,,Translation ; Edition,,https://docs.google.com/document/d/1Is1nPHu8Y66FkaE66SF2f8sSe5MEcBUPo69sn_YJ8bQ/edit,None,https://geniza.princeton.edu/admin/footnotes/footnote/860/change/
ENA 2805.19 (PGPID 703),703,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1098/change/
"Moss. IV,80 (PGPID 888)",888,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1902/change/
ENA 2805.14 (PGPID 695),695,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1083/change/
"T-S NS J241 + Moss. IV,21.1 + T-S NS J240 + T-S 20.137 + T-S NS J1 + JRL Series B 4089 (PGPID 5233)",5233,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1744/change/
ENA 1822a.47 (PGPID 651),651,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/911/change/
T-S 13J3.11 (PGPID 1098),1098,Motzkin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3521/change/
ENA 2805.12 (PGPID 692),692,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1078/change/
T-S NS 338.77 (PGPID 25964),25964,Elinoar Bareket.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/5964/change/
T-S 13J3.6 (PGPID 1115),1115,Yaara Perlman and Joshua Picard.,,Translation ; Edition,,https://docs.google.com/document/d/13whnBP7gD742mw2KVrSeeMpYBb9FA1dFVkyTQj-6JVw/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/3540/change/
T-S 10J18.2 (PGPID 33754),33754,Amir Ashur.,,Edition,transcription awaiting digitization on PGP,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6261/change/
ENA 2805.13 (PGPID 694),694,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1081/change/
ENA 2379.1–8 (PGPID 29689),29689,Ayala Meyer Eliyahu.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/955/change/
JRL SERIES A 75 (PGPID 5198),5198,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1710/change/
JRL SERIES A 794 (PGPID 5206),5206,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1711/change/
ENA 2713.17 + ENA 2815.8 + ENA 2948.10 (PGPID 31295),31295,Idan Perez.,,Translation ; Edition,awaiting digitization on PGP,,None,https://geniza.princeton.edu/admin/footnotes/footnote/989/change/
JRL SERIES B 4539 (PGPID 5259),5259,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1753/change/
CUL Or.1080 6.30 (PGPID 31444),31444,Thamar Gindlin.,,Edition,"Transcription available on FGP (under the shelfmark Or.1080 C6.6), awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/633/change/
JRL SERIES B 2349 (PGPID 28429),28429,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1718/change/
ENA 1822a.9 (PGPID 654),654,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/946/change/
ENA 2556.2b (PGPID 656),656,Moshe Gil.,,Edition,transcription awaiting digitization. Partial,,None,https://geniza.princeton.edu/admin/footnotes/footnote/957/change/
JRL SERIES B 4525 (PGPID 5226),5226,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1752/change/
BL OR 5566D.30 (PGPID 493),493,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/138/change/
JRL Series B 3762 (PGPID 5238),5238,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1730/change/
CUL Or.1080 J170 (PGPID 4480),4480,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/681/change/
JRL Series A 924 (PGPID 5252),5252,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1716/change/
JRL Series B 4066 (PGPID 5220),5220,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1741/change/
JRL Series B 3476 + JRL Series B 3475 (PGPID 5235),5235,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1726/change/
JRL SERIES B 4592 (PGPID 28692),28692,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1754/change/
JRL Series B 3771 (PGPID 5215),5215,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1731/change/
T-S 16.22 + T-S 10J5.17 (PGPID 3455),3455,Yaara Perlman and Joshua Picard.,,Edition,,https://docs.google.com/document/d/1PxqQ9axRAQUWtqXHIEz9LlUB4FvYoseyV4e2o6TKa4c/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/3778/change/
JRL Series B 3475 + JRL Series B 3476 (PGPID 5236),5236,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1727/change/
JRL Series B 4066 (PGPID 5221),5221,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1740/change/
Bodl. MS heb. d 66/79 (PGPID 584),584,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/414/change/
JRL Series B 4037 (PGPID 5219),5219,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1739/change/
JRL Series A 316 (PGPID 5199),5199,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1694/change/
ENA 4020.43 (PGPID 782),782,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1315/change/
ENA NS 19.25 (PGPID 818),818,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1418/change/
T-S Ar.52.208 (PGPID 32300),32300,Dan Greenberger.,,Edition,"Transcription listed on FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/5197/change/
ENA 2805.2 (PGPID 713),713,A. L. Udovitch.,,Edition,edition of ENA 2805.2 (lower fragment),,None,https://geniza.princeton.edu/admin/footnotes/footnote/1099/change/
T-S Ar.53.73 (PGPID 8319),8319,Tamer el-Leithy.,,Translation ; Edition,,https://docs.google.com/document/d/1C22-EcP26mM9I6X5ItqO2Jb3IvEfttFQiA2T1N5AF-o/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/5211/change/
T-S Ar.42.51 (PGPID 30850),30850,Marina Rustow and Naïm Vanthieghem.,,Edition,,https://docs.google.com/document/d/1KSaCTK_wBCeoIEUc1KLX0qN_Fq1YH4nFMPL0wkYWHug/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/5152/change/
T-S 16.22 + T-S 10J5.17 (PGPID 3455),3455,Yaara Perlman and Joshua Picard.,,Edition,,https://docs.google.com/document/d/1PxqQ9axRAQUWtqXHIEz9LlUB4FvYoseyV4e2o6TKa4c/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/2502/change/
CUL Add.3336 (PGPID 8820),8820,"Geoffrey Khan, Tamer el-Leithy, Marina Rustow and Naïm Vanthieghem.",,Edition,,https://docs.google.com/document/d/1jtdryA0z32Z3KuDptZNS8g1G0lrc5HhJDU7s8PgCNSg/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/583/change/
Bodl. MS heb. d 66/17 (PGPID 2538),2538,Yaara Perlman and Joshua Picard.,,Translation ; Edition,,https://docs.google.com/document/d/1rKcMiXC9myKdbP3yTqTR90bBUYF8_DBvZ1wyYCWxCbo/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/365/change/
Bodl. MS heb. d 66/91 (PGPID 586),586,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/428/change/
T-S J2.66 (PGPID 1323),1323,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5494/change/
JRL Series B 3762 (PGPID 5237),5237,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1729/change/
ENA NS 22.13 (PGPID 827),827,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1488/change/
"Moss. II,163.3 (PGPID 5397)",5397,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1862/change/
T-S Ar.34.197 (PGPID 30827),30827,Marina Rustow and Anna Bailey.,,Edition,,https://docs.google.com/document/d/17WTEcMOgPKSKJw1tOELhRp0E3bshyAfiLJaXxY8JEBk/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/5105/change/
T-S 10J19.13 (PGPID 30848),30848,Marina Rustow and Naïm Vanthieghem.,,Edition,,https://docs.google.com/document/d/1HPG_6AvQUYqbbXp5JuMLAyiwXC1zLkvL4bUr9gNO4qQ/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/2337/change/
CUL Or.1080 J20 (PGPID 5659),5659,Motzkin.,,Edition,See attachments,,None,https://geniza.princeton.edu/admin/footnotes/footnote/707/change/
T-S AS 144.245 (PGPID 34092),34092,Tamer el-Leithy.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6519/change/
ENA 2727.38 (PGPID 668),668,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1017/change/
T-S 8J26.4 (PGPID 2082),2082,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4691/change/
T-S 8J22.10 (PGPID 2073),2073,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4590/change/
ENA NS 30.3 (PGPID 15890),15890,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1512/change/
JRL SERIES B 4434 (PGPID 5231),5231,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1751/change/
T-S 13J14.2 (PGPID 5885),5885,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3077/change/
ENA NS 34.19 (PGPID 15891),15891,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1518/change/
JRL Series B 3001 (PGPID 5212),5212,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1721/change/
T-S 8J35.2 (PGPID 3806),3806,S. Assaf.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4785/change/
CUL Or.1080 J169 (PGPID 2260),2260,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/678/change/
ENA 2805.5.2 (PGPID 718),718,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1125/change/
ENA 3975.1 (PGPID 11703),11703,Naïm Vanthieghem and Oded Zinger.,,Edition,,https://docs.google.com/document/d/1G0pZX7SKoBdlc-2hEb9QItRd3L54duXBL_Y7MEL_6rM/edit,None,https://geniza.princeton.edu/admin/footnotes/footnote/1206/change/
ENA 3901.5 (PGPID 32717),32717,Naïm Vanthieghem.,,Edition,,https://docs.google.com/document/d/10_supSoSEKLjufdAhqm-1E-n6GpxO0OUCKEX-30rOHk/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/1200/change/
JRL SERIES B 2490 (PGPID 5243),5243,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1719/change/
"Moss. IV,57 (PGPID 5398)",5398,Oded Zinger.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1893/change/
ENA NS 7.84 (PGPID 12238),12238,Amir Ashur.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1562/change/
T-S 10J16.17 (PGPID 1520),1520,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2268/change/
T-S 8.271 + DK 134 + T-S 10K21 + T-S Misc.35.31 + ENA 3098.7 (PGPID 7131),7131,Norman Golb.,,Translation ; Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4280/change/
JRL Series B 3175 (PGPID 5208),5208,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1723/change/
T-S 8.253 + T-S 12.600 (PGPID 18676),18676,Mordechai Akiva Friedman.,,Edition,see join for complete transcription,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4272/change/
T-S 10J15.11 (PGPID 1509),1509,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2226/change/
ENA NS 18.24 (PGPID 813),813,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1392/change/
P. Heid. Arab. III 42 (PGPID 31584),31584,"Werner Diem, (in German).",,Translation ; Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2040/change/
T-S 12.792 (PGPID 1697),1697,A. L. Udovitch.,,Edition,With minor emendations by Alan Elbaum (2020),,None,https://geniza.princeton.edu/admin/footnotes/footnote/2969/change/
ENA 2805.11 (PGPID 690),690,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1076/change/
ENA 2805.3 (PGPID 714),714,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1118/change/
JRL Series A 707 (PGPID 5251),5251,J. Marglin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1708/change/
ENA 3788.5 (PGPID 11665),11665,Menahem Ben-Sasson.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1190/change/
T-S NS 164.33 (PGPID 30843),30843,Stephanie Luescher.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5765/change/
JRL SERIES A 738 (PGPID 28324),28324,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1709/change/
T-S 10J15.25 (PGPID 1514),1514,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2242/change/
T-S 12.821 + ENA 3682.5 (PGPID 30838),30838,Geoffrey Khan and Marina Rustow.,,Edition,,https://docs.google.com/document/d/10-AvBaQ1dNKGpBh29QwMiyYUkVB83Cq__6TaWKe-wUU/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/2977/change/
ENA 3338.4 + ENA 3338.3 + ENA 2948.10 + ENA 2815.8 + ENA 2713.17 (PGPID 31309),31309,Idan Perez.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1173/change/
T-S 10J15.14 (PGPID 1511),1511,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2230/change/
ENA 3338.3 + ENA 3338.4 + ENA 2948.10 + ENA 2815.8 + ENA 2713.17 (PGPID 31308),31308,Idan Perez.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/1172/change/
ENA NS 22.27 (PGPID 829),829,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1500/change/
JRL Series B 3311 (PGPID 5213),5213,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1725/change/
ENA 2805.9 (PGPID 724),724,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1138/change/
ENA 2805.1 (PGPID 689),689,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1072/change/
JRL Series B 3175 (PGPID 5209),5209,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1724/change/
JRL Series A 673 (PGPID 5258),5258,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1705/change/
JRL SERIES B 5269 (PGPID 5211),5211,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1757/change/
JRL Series A 659 (PGPID 5255),5255,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1702/change/
